year,player_id,guid,player_name,position,pos_abbr,school,team_name,team_abbr,weight,height,ovr_rk,pos_rk,grade,link,player_image
2004,7899,bf860020ee5b468a29a8b655bad7a096,SHAUD WILLIAMS,Running Back,RB,Alabama,Crimson Tide,ALA,193,67.5,288,22,40,http://insider.espn.com/nfl/draft/player/_/id/7899,NA
2004,8026,46336ff59a572250173841272945d16b,GEORGE WILSON,Wide Receiver,WR,Arkansas,Razorbacks,ARK,213,72.125,289,38,40,http://insider.espn.com/nfl/draft/player/_/id/8026,NA
2004,7425,938b2672755ad5b57639fbd33e24f499,DARYL DIXON,Safety,S,Florida,Gators,FLA,195,69.625,291,24,39,http://insider.espn.com/nfl/draft/player/_/id/7425,NA
2004,7506,a6f1aeb1fbc6cff4564d0b0f19cdd5e1,DAMANE DUCKETT,Defensive Tackle,DT,NA,NA,NA,300,77.875,292,26,39,http://insider.espn.com/nfl/draft/player/_/id/7506,NA
2004,7614,1c84c75eaab6b4c6b60adc40fe77b81e,RYAN LILJA,NA,NA,Kansas State,Wildcats,KSU,302,75,294,8,39,http://insider.espn.com/nfl/draft/player/_/id/7614,NA
2004,7641,c1f7dda336205ae15aaac677d372d6c3,ATLAS HERRION,Offensive Guard,OG,Alabama,Crimson Tide,ALA,299,75.5,295,18,39,http://insider.espn.com/nfl/draft/player/_/id/7641,NA
2004,7698,NA,WILLIAM STROTHER,Outside Linebacker,OLB,NA,NA,NA,241,71.875,296,22,39,http://insider.espn.com/nfl/draft/player/_/id/7698,NA
2004,7854,7d6d29d89c7cf642ed4ea3978589a70c,CASEY CLAUSEN,Quarterback,QB,Tennessee,Volunteers,TENN,223,75.5,297,17,39,http://insider.espn.com/nfl/draft/player/_/id/7854,NA
2004,7897,74ad575996a760ece7323a608dc4873d,DERRICK KNIGHT,Running Back,RB,Boston College,Eagles,BC,204,68.625,298,23,39,http://insider.espn.com/nfl/draft/player/_/id/7897,NA
2004,7296,NA,GREG GOLDEN,Cornerback,CB,NA,NA,NA,183,70,300,32,38,http://insider.espn.com/nfl/draft/player/_/id/7296,NA
2004,7374,NA,CONSTANTIA RITZMANN,Defensive End,DE,Tennessee,Volunteers,TENN,254,75,301,27,38,http://insider.espn.com/nfl/draft/player/_/id/7374,NA
2004,7767,56a0a080d1ad21bdd1c4f44871646eb0,BRAD LEKKERKERKER,Offensive Tackle,OT,UC Davis,Aggies,UCD,317,79,302,23,38,http://insider.espn.com/nfl/draft/player/_/id/7767,NA
2004,7908,885cb1978ac72e6c43fbef857b1d688c,LARRY CROOM,Running Back,RB,NA,NA,NA,200,69.625,303,24,38,http://insider.espn.com/nfl/draft/player/_/id/7908,NA
2004,7958,383d78bf29d51885a5abab922ca3394a,KEITH WILLIS,Tight End,TE,Virginia Tech,Hokies,VT,260,77.75,304,18,38,http://insider.espn.com/nfl/draft/player/_/id/7958,NA
2004,8021,dbcc82c52bd90ba4bf5acd633e5df5c0,DEREK MCCOY,Wide Receiver,WR,Colorado,Buffaloes,COLO,206,74.375,305,40,38,http://insider.espn.com/nfl/draft/player/_/id/8021,NA
2004,7300,NA,TEDRIC CRAWFORD,Cornerback,CB,South Carolina,Gamecocks,SC,182,69.25,306,31,32,http://insider.espn.com/nfl/draft/player/_/id/7300,NA
2004,7383,5ecc577c13e53b45073a009f96e61997,LINNIS SMITH,Defensive End,DE,Texas A&M,Aggies,TA&M,286,75.625,307,28,37,http://insider.espn.com/nfl/draft/player/_/id/7383,NA
2004,7505,70a8a57a991a74e85d04cdbd8dc0a3da,CEDRIC HILLIARD,Defensive Tackle,DT,Notre Dame,Fighting Irish,ND,307,73.5,309,27,37,http://insider.espn.com/nfl/draft/player/_/id/7505,NA
2004,7571,6f3872bfe22415529e299ce101875018,JONATHAN HARRELL,Inside Linebacker,ILB,Northern Iowa,Panthers,UNI,242,73.5,310,16,37,http://insider.espn.com/nfl/draft/player/_/id/7571,NA
2004,7646,4946b9e4c844c3e575c5a70f394f61d2,REGIS CRAWFORD,Offensive Guard,OG,NA,NA,NA,316,74,311,19,37,http://insider.espn.com/nfl/draft/player/_/id/7646,NA
2004,8024,eec7da231efa598db490347fb42ade2d,TONY JOHNSON,Wide Receiver,WR,NA,NA,NA,202,70.625,313,41,37,http://insider.espn.com/nfl/draft/player/_/id/8024,NA
2004,7555,b032f4c44be084e038d68121a45182bd,DOUG EASLICK,Fullback,FB,Virginia Tech,Hokies,VT,238,70.875,314,7,36,http://insider.espn.com/nfl/draft/player/_/id/7555,NA
2004,7576,a1bdb32044dad1619713e61829bfdeb6,MAURICE JONES,Inside Linebacker,ILB,NA,NA,NA,249,72.75,315,17,36,http://insider.espn.com/nfl/draft/player/_/id/7576,NA
2004,7656,19094c65103ff3fa1eda152cbb54da08,NICK NEWTON,Offensive Guard,OG,NA,NA,NA,338,76.25,316,20,36,http://insider.espn.com/nfl/draft/player/_/id/7656,NA
2004,7695,86e0e9c5d0c93726d9f3be59cee4dc81,JOSH BUHL,Outside Linebacker,OLB,Kansas State,Wildcats,KSU,204,71.25,317,23,36,http://insider.espn.com/nfl/draft/player/_/id/7695,NA
2004,7772,75797f461d50f02586fab07141ce401c,ROB DROEGE,Offensive Tackle,OT,Missouri,Tigers,MIZ,311,78.125,318,24,36,http://insider.espn.com/nfl/draft/player/_/id/7772,NA
2004,7856,e9d91a7ad74b797bd751e0fbb5405831,SCOTT RISLOV,Quarterback,QB,San Jose State,Spartans,SJSU,224,73,320,19,36,http://insider.espn.com/nfl/draft/player/_/id/7856,NA
2004,8116,0f7355a8c0979b512f76ef4bbe09cb69,JOSH DAVIS,Running Back,RB,Nebraska,Cornhuskers,NEB,199,70.5,321,25,36,http://insider.espn.com/nfl/draft/player/_/id/8116,NA
2004,7967,4106f08d8b28b70d1c59ff395812c432,JASON RADER,Tight End,TE,Marshall,Thundering Herd,MRSH,274,76.25,322,19,36,http://insider.espn.com/nfl/draft/player/_/id/7967,NA
2004,8027,3a7fa0c10aa947c5b66ea8e0fb2162ec,KEVIN YOUNGBLOOD,Wide Receiver,WR,NA,NA,NA,210,76.5,323,42,36,http://insider.espn.com/nfl/draft/player/_/id/8027,NA
2004,7328,7687c5d61cc8e4bd4fbe26944c420dcd,RANDALL GAY,Cornerback,CB,LSU,Tigers,LSU,185,70.875,324,34,35,http://insider.espn.com/nfl/draft/player/_/id/7328,NA
2004,7427,adebdebae7f5dd7607fcdd93fec46fac,QUINTIN WILLIAMS,Safety,S,NA,NA,NA,204,71.375,325,26,35,http://insider.espn.com/nfl/draft/player/_/id/7427,NA
2004,7498,257760b7a886ad675f364bbb5ceabaa9,RYAN BOSCHETTI,Defensive Tackle,DT,NA,NA,NA,306,76.375,326,28,35,http://insider.espn.com/nfl/draft/player/_/id/7498,NA
2004,7907,58a0102d622d5b2de2307d69cc2c49f2,JASON WRIGHT,Running Back,RB,NA,NA,NA,209,70.25,329,26,35,http://insider.espn.com/nfl/draft/player/_/id/7907,NA
