season,player_id,guid,player_name,age,school_abbr,total_qbr,points_added,qb_plays,total_epa,pass,run,exp_sack,penalty,raw_qbr,sack
2004,141839,d83cd2cb54bbbd78b349d3ed7e4797d2,Zac Dahman,22,ARMY,26.2,-11.5,315,2.8,9.6,-1.4,-5,0.2,40.6,-5.5
2004,150032,b7c1ccfd922122319f9225affbaf229c,Steven Moffett,24,UCF,26,-24.4,357,-5.8,22.3,-2.1,-22.3,0,32.9,-26
2004,109834,204766a1a05e439e867b428dd9efeeb8,Travis Cox,24,USU,23,-42,457,-16.2,16.1,-16.4,-17.5,1.3,27.8,-17.5
2004,157785,0ca0d14cf1463e7a3d021eb052cf3264,Cole Stinson,NA,BALL,18,-10.2,225,0.4,9.6,0.1,-8.9,-0.2,38.4,-9
2004,119010,c026cfddf7970e36085712eb5f8c2227,Casey Paus,23,WASH,17.8,-59.5,342,-35.1,-18.2,-6.2,-8.2,0,14.1,-10.7
2004,102351,22c306356db3af7e87993fcf9912e151,Ryan Hawk,23,OHIO,16.1,-50,381,-25,1.1,-3.8,-20.5,-0.5,20.4,-21.7
2004,115858,7d091861d977d89f8bdbeb3a84f0ef58,P.J. Piskorik,22,BUFF,13.7,-32.5,220,-15.7,-15.7,1.2,-3.4,2.4,17.7,-3.7
2005,159846,5eafbaa789670f3d8be87a9e8080aa83,Pat White,23,WVU,87.5,42.1,267,44.3,15.9,32.3,-2.9,-1.6,83.8,-2.9
2005,135107,8a566151926d25a918e430d6b24c70ac,Vince Young,23,TEX,86.1,71.5,532,75,44.5,36.2,-7.6,2.2,80.2,-8.1
2005,164609,6c59128b58bb37bc74d0c14e528437c6,Brian Brohm,23,LOU,81.2,48.9,385,49.8,56.1,1.7,-8.5,2,78.9,-9.4
2005,160303,7b0405b702e1386d60f04a090b35af89,Rudy Carpenter,23,ASU,80.8,39.5,307,42.7,51.6,2.5,-11,1.2,79.2,-13.1
2005,120511,aa355d378a68b11239e90dc057a5ce60,Matt Leinart,23,USC,80.5,51.1,529,61.5,64.9,6.5,-7.8,-1,73.2,-8.8
2005,150329,28b64d2c0a09417a70b4e4feb6b7670c,Brady Quinn,29,ND,80.5,60.2,564,75.6,83.6,3.5,-15,3.4,75.2,-15
2005,133648,678c35f30cc2f77002f17087fb8fbccc,Troy Smith,24,OSU,78.8,33.7,404,46.8,47,12.9,-9.5,-1.6,70.4,-11.4
2005,133808,af64474d2875e07eb4310c2b2da798a5,Bryan Cupito,24,MINN,78.7,32.2,359,38.1,37.7,2.4,-2.8,0.5,71.7,-2.8
